Artist,Title
Bedoes,Gustaw
Bedoes,Kwiat Polskiej Młodzieży
Bedoes,NaNaNa REMIX
Białas,"Mali ludzie, wielkie nieba"
Białas,Tracimy kontrolę
Białas,Street Credit (Freestyle)
Bonson,Pozory
Bonson,Postanawia umrzeć
Bonson,Border
Borixon,JACKIECHAN
Borixon,Weedbanger
Borixon,YERBA
B.R.O (PL),Nowy rozdział
B.R.O (PL),Infinitvm
B.R.O (PL),Perpetuum Mobile
Chada,Jest nas dwóch
Chada,Niesiemy Prawdę
Chada,Nie chcę być taki jak oni
Deys,Moizdrajcy.com
Deys,Zły
Deys,Cera
DonGURALesko,O’Kruca
DonGURALesko,Maya
DonGURALesko,Alphabet Challenge
Dwa Sławy,Człowiek sztos
Dwa Sławy,"O sportowcu, któremu nie wyszło"
Dwa Sławy,Do ryma
Eldo,Mistrzowski Freestyle
Eldo,Nie pytaj o nią
Eldo,Granice
Ero JWP,Bez przesady
Ero JWP,Uwierz w siebie
Ero JWP,Rzeźnik
Eripe,Jestem chujem
Eripe,Apogeum wkurwienia
Eripe,Powrót chuja
Filipek,Mówię o twej karierze (Bedoes diss)
Filipek,Nienawidzę urodzin
Filipek,Łakałakałaka (Bedoes diss)
Fokus,Lubisz to
Fokus,V.I.P.
Fokus,Przetrwasz
Gedz,Kosmita
Gedz,Bali
Gedz,Chcx Chcx (Bonus Track)
Guzior,Ninja
Guzior,WIFI
Guzior,Płuca zlepione topami
Hukos,Chłopcy idą na wojnę
Hukos,Dranie tak mają
Hukos,Niech kamienie przemówią
Joda,Polskie Miami
Joda,Oda do hastlerki
Joda,Wóda Na Betonie
KaeN,Pet (Te-Tris Diss)
KaeN,Mów mi D.ave
KaeN,Alter Ego
Kaliber 44,Plus i minus (+ i -)
Kaliber 44,Film
Kaliber 44,Nieodwracalne zmiany
Kartky,​koszmar minionego lata
Kartky,​niemanieba
Kartky,Outside
KęKę,Wyjebane (Tak Mocno)
KęKę,Cesarz
KęKę,Nic już nie muszę
Liroy,Scyzoryk
Liroy,...a jebać mi się chce!!!
Liroy,Korrba
Miuosh,Nie mamy skrzydeł
Miuosh,Miasto szczęścia
Miuosh,Absynt
Molesta,"Wiedziałem, że tak będzie"
Molesta,28.09.97
Molesta,Klima
O.S.T.R.,Spowiedź
O.S.T.R.,#Hot16Challenge
O.S.T.R.,Lubię być sam
Onar,Szelest
Onar,Laury i ciernie
Onar,Equipment
Otsochodzi,"Nie, nie"
Otsochodzi,Nowy Kolor
Otsochodzi,AHA
Paktofonika,Powierzchnie tnące
Paktofonika,Chwile Ulotne
Paktofonika,Jestem Bogiem
Paluch,Kontrola Jakości
Paluch,Szaman
Paluch,Gdybyś kiedyś
Pezet,Nie Zobaczysz Łez
Pezet,Magenta
Pezet,Co jest ze mną nie tak
Peja,Tylko Peja
Peja,DTKJ (Dlaczego Tede Kurwą Jest)
Peja,Nie bądź zdziwiony
Planet ANM,Nie rozmawiaj z duchami
Planet ANM,Panie
Planet ANM,Esperanto
PlanBe,HOLLYWOOD$
PlanBe,Kolor
PlanBe,Tinder Love
Pokahontaz,404
Pokahontaz,W ruch
Pokahontaz,Średniowiecze
Quebonafide,Half dead
Quebonafide,Bogini
Quebonafide,ROMANTICPSYCHO
